,trades,n,ret_q,sharpe,skew,maxDD,cumul,worst_q
v0,115.0,115.0,0.073,0.767,-1.291,-0.958,164.623,-0.908
v0_net,115.0,115.0,0.039,0.418,-1.332,-0.99,2.538,-0.946
v1,58.0,115.0,0.043,0.558,-1.452,-0.959,12.988,-0.908
v1_net,58.0,115.0,0.025,0.334,-1.939,-0.99,1.111,-0.946
v1rmt,47.0,115.0,0.041,0.795,1.275,-0.517,58.17,-0.179
v1rmt_net,47.0,115.0,0.026,0.556,0.795,-0.585,12.398,-0.215
ml_A_vix_gross,40.0,115.0,0.037,0.737,1.506,-0.517,38.173,-0.179
ml_A_vix_net,40.0,115.0,0.024,0.514,0.977,-0.585,9.363,-0.215
ml_B_spectral_gross,44.0,115.0,0.04,0.802,1.378,-0.517,56.959,-0.179
ml_B_spectral_net,44.0,115.0,0.026,0.57,0.882,-0.585,12.782,-0.215
ml_Full_gross,44.0,115.0,0.04,0.802,1.378,-0.517,56.959,-0.179
ml_Full_net,44.0,115.0,0.026,0.57,0.882,-0.585,12.782,-0.215
